Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-Sep-21,2375,2418,2370,2393.9,2398.621469189028469486,215248,10100,516298474,85093,39.53,48,18.9
21-Sep-21,2411,2416,2384.65,2404.15,2400.725127943768448323,376728,9102,904420376,260741,69.21,31.35,-6.85
22-Sep-21,2409,2441.25,2398.15,2430.6,2425.734491479319521842,272044,10955,659906514,139311,51.21,43.1,21.6
23-Sep-21,2445,2496.95,2445,2489.65,2437.912494955321714217,3174137,36025,7738268253,3045446,95.95,51.95,44.65
24-Sep-21,2500,2504.7,2472,2482.95,2489.738799157181487151,288081,12569,717246443,182381,63.31,32.7,-17.05
27-Sep-21,2484.2,2529,2475.5,2525.2,2509.106649785593403657,314356,24074,788752730,185800,59.1,53.5,41
28-Sep-21,2531,2565,2512.2,2548.05,2529.306822261231560677,1214524,22711,3071903839,1025812,84.46,52.8,17.05
29-Sep-21,2562,2563.9,2520,2527.25,2525.812363825807143447,2433923,13592,6147632806,2339816,96.13,43.9,-34.75
30-Sep-21,2527.85,2534.1,2500.75,2517,2522.120463217676812494,270456,7952,682122612,176979,65.44,33.35,-10.85
01-Oct-21,2506,2539.85,2495.85,2522.85,2499.736223570003792598,2866109,7567,7164516488,2791640,97.4,44,16.85
04-Oct-21,2549.9,2574.65,2537.55,2555.85,2559.237424183216228174,1315342,10712,3366272472,1229413,93.47,37.1,5.95
05-Oct-21,2565,2612,2547.3,2609.1,2588.248072261080368539,287513,11429,744154968,186168,64.75,64.7,44.1
06-Oct-21,2623,2623,2550.05,2560.2,2586.807554010282012421,134604,10144,348194644,56190,41.74,72.95,-62.8
07-Oct-21,2600,2600,2568.1,2572.15,2584.304123479044614691,133140,11026,344074251,54651,41.05,31.9,-27.85
08-Oct-21,2580,2683.9,2580,2670.85,2638.261448130161604521,328023,20709,865410435,121892,37.16,103.9,90.85
11-Oct-21,2724.7,2724.7,2645.05,2651.15,2671.899100877253881549,2880808,16970,7697228305,2739151,95.08,79.65,-73.55
12-Oct-21,2641,2682.75,2641,2668.55,2655.576819780371997814,129947,8366,345084241,72623,55.89,41.75,27.55
13-Oct-21,2683,2719.5,2669,2695.9,2693.938521210640442231,229201,20619,617453403,119618,52.19,50.5,12.9
14-Oct-21,2705,2717.7,2687.15,2699.85,2701.071448210848815742,152754,12882,412599468,62906,41.18,30.55,-5.15
18-Oct-21,2684,2744.95,2660,2707,2717.557929848012277835,161592,10354,439135621,77128,47.73,84.95,23
19-Oct-21,2726,2750,2708,2731.5,2732.862294054193595972,108463,8972,296414443,41582,38.34,42,5.5
20-Oct-21,2740,2744.1,2691.45,2699.9,2731.083256615648951524,2747085,9471,7502517848,2670307,97.21,52.65,-40.1
21-Oct-21,2725.95,2725.95,2603,2623,2654.961536809715208181,395833,23458,1050921390,212274,53.63,122.95,-102.95
22-Oct-21,2623.8,2664.7,2611.4,2627.05,2636.952122271735024420,299137,20311,788809947,151206,50.55,53.3,3.25
25-Oct-21,2699,2699,2570.1,2601.65,2606.924662683682728226,424305,22383,1106131169,231295,54.51,128.9,-97.35
26-Oct-21,2614.45,2668.85,2603.35,2661.5,2621.788133298606723724,387791,13559,1016705842,241231,62.21,65.5,47.05
27-Oct-21,2659.8,2677,2620,2632.65,2651.251640637979730852,240760,13605,638315345,143983,59.8,57,-27.15
28-Oct-21,2621,2637.8,2591.1,2599.35,2610.792738919401906355,404017,23122,1054804650,301597,74.65,46.7,-21.65
29-Oct-21,2586,2595.15,2502.55,2537.6,2551.553791269873947849,340018,31011,867574217,163296,48.03,92.6,-48.4
01-Nov-21,2531.2,2555,2494,2537.35,2518.746616218521538918,347023,23229,874063007,179624,51.76,61,6.15
02-Nov-21,2551.9,2551.9,2497,2500.9,2513.887339630114134152,416615,21303,1047323174,337649,81.05,54.9,-51
03-Nov-21,2504.75,2520.45,2461,2483.85,2492.219904265486583514,249022,24200,620617585,123735,49.69,59.45,-20.9
04-Nov-21,2494.9,2505,2490.05,2498.8,2497.723549277530186438,64847,12315,161969879,44082,67.98,14.95,3.9
08-Nov-21,2510.1,2522,2457.65,2502,2481.914405464986528046,183715,15526,455964905,111441,60.66,64.35,-8.1
09-Nov-21,2502,2528.95,2486.7,2520.05,2508.783451608674548540,282251,18023,708106638,153387,54.34,42.25,18.05
10-Nov-21,2518.9,2558,2503.85,2549.4,2536.870515684717785860,108322,8846,274798888,30516,28.17,54.15,30.5
11-Nov-21,2549.4,2571,2535.95,2554.95,2554.602904480363284850,266898,18191,681818406,195851,73.38,35.05,5.55
12-Nov-21,2560,2598.8,2557,2592.5,2580.313714352245504228,283433,17078,731346057,167168,58.98,41.8,32.5
15-Nov-21,2600,2602.1,2570,2578.55,2581.251690687625788113,104839,8757,270615846,59444,56.7,32.1,-21.45
16-Nov-21,2573,2576,2495,2512.1,2536.443407967812095763,245061,23297,621583358,116041,47.35,81,-60.9
17-Nov-21,2499.7,2500,2460.35,2464.05,2483.811428046334884676,370002,18398,919015196,305709,82.62,39.65,-35.65
18-Nov-21,2459.9,2489,2450.6,2472.75,2465.347488070344753632,242463,20272,597755548,87088,35.92,38.4,12.85
22-Nov-21,2440,2446.25,2351,2363.4,2378.499350070029354770,416968,29833,991758117,230256,55.22,95.25,-76.6
23-Nov-21,2339,2401.5,2309.4,2386.15,2349.698689020188607841,457139,33263,1074138909,261503,57.2,92.1,47.15
24-Nov-21,2381.4,2410.85,2344,2350.9,2373.213981702991161778,1856369,26324,4405560866,1684090,90.72,66.85,-30.5
25-Nov-21,2375.5,2502.8,2358,2494.4,2453.117423694412818625,476931,26825,1169967746,125100,26.23,144.8,118.9
26-Nov-21,2470,2477.45,2403,2412.15,2434.076650869196443178,397321,35528,967109769,138512,34.86,74.45,-57.85
29-Nov-21,2412,2500,2400,2442.5,2463.845575054772390289,451870,26572,1113337900,166591,36.87,100,30.5
30-Nov-21,2466,2475.9,2390,2406.75,2433.348601816380507256,568273,31836,1382806310,275316,48.45,85.9,-59.25
01-Dec-21,2425.5,2474.6,2425.5,2466.9,2448.778231755759845647,334818,21763,819895030,156341,46.69,49.1,41.4
02-Dec-21,2466.9,2496,2461.2,2483.8,2483.114103589405842781,212570,16218,527835565,92633,43.58,34.8,16.9
03-Dec-21,2490.15,2494.95,2400.1,2408.15,2439.637124257592655030,385570,34155,940650886,167044,43.32,94.85,-82
06-Dec-21,2421,2424.55,2357.15,2363.3,2394.271775890206256513,406872,18352,974162146,292748,71.95,67.4,-57.7
07-Dec-21,2381.7,2403.75,2373.55,2381.6,2390.186593473419510711,243374,17867,581709272,117641,48.34,30.2,-0.1
08-Dec-21,2427,2431.45,2407.1,2417.4,2398.377170091198769366,655272,16576,1571589405,527405,80.49,24.35,-9.6
09-Dec-21,2431.1,2474.9,2425.45,2455.85,2452.456917942009772579,170477,12285,418087498,63634,37.33,49.45,24.75
10-Dec-21,2444,2466.1,2430.5,2458.95,2442.526087194697260198,127783,9265,312113311,53206,41.64,35.6,14.95
13-Dec-21,2470,2474.5,2405,2409.8,2428.157608239050072812,285664,26348,693637215,147571,51.66,69.5,-60.2
14-Dec-21,2389,2406,2373.5,2380.4,2388.964447592562222819,286591,25831,684655710,153809,53.67,32.5,-8.6
15-Dec-21,2384.85,2404.5,2361.75,2372.5,2377.476077155232845578,271038,23929,644386361,145204,53.57,42.75,-12.35
16-Dec-21,2404,2414.5,2369,2404.45,2392.489712017909840236,147405,11495,352664946,58166,39.46,45.5,0.45
17-Dec-21,2395,2408.75,2320,2341.15,2346.359322772852783025,426622,47328,1001008507,188652,44.22,88.75,-53.85
20-Dec-21,2315,2320.9,2248,2277.2,2315.448360844168420976,1104898,52446,2558334263,873538,79.06,72.9,-37.8
21-Dec-21,2304.6,2345,2293,2310.1,2319.330166342701085738,165141,13319,383016503,54303,32.88,52,5.5
22-Dec-21,2314.5,2372,2314.5,2365.95,2347.409044848326359832,244736,16084,574495500,122553,50.08,57.5,51.45
23-Dec-21,2372,2380,2358.95,2364.65,2367.749982290018654513,127047,10406,300815532,46577,36.66,21.05,-7.35
24-Dec-21,2367,2391.9,2337.65,2372.25,2357.462066127040746330,182225,11462,429588525,66747,36.63,54.25,5.25
27-Dec-21,2362.9,2377.75,2348.95,2369.8,2366.969281225746689031,79886,7777,189087708,27557,34.5,28.8,6.9
28-Dec-21,2384,2405,2374.35,2397.7,2388.084861356226257066,100293,8800,239508195,48111,47.97,30.65,13.7
29-Dec-21,2391.9,2418.4,2382.45,2403.05,2398.555781827806000544,136021,11528,326253956,55019,40.45,35.95,11.15
30-Dec-21,2398,2405.25,2346,2356.45,2370.134583957424559684,395909,25736,938357613,223438,56.44,59.25,-41.55
31-Dec-21,2370,2384.3,2360.05,2368.15,2369.595471594043022614,181300,12052,429607659,88482,48.8,24.25,-1.85
03-Jan-22,2367.5,2408.95,2364.95,2404.35,2394.596553644577651084,272926,18762,653547659,138852,50.88,44,36.85
04-Jan-22,2410,2461.95,2403,2457.75,2434.124214218795814888,559316,29928,1361444619,300783,53.78,58.95,47.75
05-Jan-22,2460.15,2476.3,2433,2466.05,2450.308812132211192073,256771,14968,629168244,135779,52.88,43.3,5.9
06-Jan-22,2454,2454,2409,2416.6,2426.120931695155095348,311647,17706,756093310,185873,59.64,45,-37.4
07-Jan-22,2436,2457.65,2411.5,2435.95,2438.080745943327682247,371610,21284,906015186,153749,41.37,46.15,-0.05
10-Jan-22,2453.95,2456.45,2416.55,2437.65,2433.662717627692936186,166454,17408,405092894,78772,47.32,39.9,-16.3
11-Jan-22,2431.1,2474.1,2431.1,2454.9,2446.971081525804038893,334250,10869,817900084,229830,68.76,43,23.8
12-Jan-22,2472.45,2524.35,2465.4,2520.6,2504.288096826941199843,196309,16405,491614292,76586,39.01,58.95,48.15
13-Jan-22,2523.7,2540.95,2508.8,2535.35,2522.724104866382065732,272194,10302,686670365,44104,16.2,32.15,11.65
14-Jan-22,2530,2566.5,2525.8,2538.7,2543.383671706632914856,233864,20272,594805879,93794,40.11,40.7,8.7
17-Jan-22,2539.6,2565,2538.75,2552.3,2555.443748713878354940,102051,9595,260785590,40673,39.86,26.25,12.7
18-Jan-22,2553,2562.8,2515.5,2520.85,2539.209638653429472828,194301,20189,493370972,87095,44.82,47.3,-32.15
19-Jan-22,2526.3,2541.65,2508.8,2521.4,2523.240227638103720252,132491,10802,334306621,44137,33.31,32.85,-4.9
20-Jan-22,2497,2511.25,2455,2478.8,2480.361259620178803271,202569,12068,502444300,112922,55.74,56.25,-18.2
21-Jan-22,2450.15,2501.95,2450.15,2478.1,2475.170093271110944518,320142,23410,792405904,165703,51.76,51.8,27.95
24-Jan-22,2478.1,2504.1,2352.7,2377.55,2424.608906387819179510,579337,55994,1404665650,212459,36.67,151.4,-100.55
25-Jan-22,2364.7,2388.6,2305.05,2373.7,2340.569233954545557964,439517,30843,1028719968,217405,49.46,83.55,9
27-Jan-22,2345,2355.55,2312,2338.25,2333.071195783218433122,385697,35928,899858561,208834,54.14,43.55,-6.75
28-Jan-22,2365,2372.4,2329,2335.4,2347.955907953237523643,2787192,30836,6544203923,2608002,93.57,43.4,-29.6
