Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-Apr-18,1935,1938.7,1914.25,1917.2,1923.141787328230194595,54215,2063,104263132,23953,44.18,24.45,-17.8
26-Apr-18,1920,1937.45,1913.05,1930.3,1930.366411982293372142,32982,1322,63667345,11495,34.85,24.4,10.3
27-Apr-18,1926,1934.75,1912,1922.85,1920.499416534111736239,297361,4203,571081627,247835,83.34,22.75,-3.15
30-Apr-18,1929,1954.95,1928.5,1944.6,1947.195432804893626080,70459,2004,137197443,30455,43.22,26.45,15.6
02-May-18,1948.35,1978.7,1947.3,1970.35,1965.480449626384952331,93144,2838,183072711,45804,49.18,31.4,22
03-May-18,1965,1974.9,1947.3,1967.55,1964.645921762074108064,52302,1494,102754911,24835,47.48,27.6,2.55
04-May-18,1967,1989.95,1967,1987.85,1980.941608630892476148,49682,1634,98417141,22966,46.23,22.95,20.85
07-May-18,1984.5,1987.85,1974,1979.75,1975.834840775981455282,267893,2986,529312323,228385,85.25,13.85,-4.75
08-May-18,1979,1979,1955,1966.6,1962.878902816966557195,64857,1657,127306437,26382,40.68,24,-12.4
09-May-18,1965,1982,1958.15,1979,1975.169210739825279722,52999,2005,104681993,19073,35.99,23.85,14
10-May-18,1990,1998.3,1983.6,1989.7,1991.476925293047877991,55537,2884,110600654,23955,43.13,14.7,-0.3
11-May-18,1990,2015.95,1985.1,2010.65,2002.525331411798365988,94369,2941,188976313,43221,45.8,30.85,20.65
14-May-18,2017,2026.7,2012.7,2021.2,2021.457894034432136660,59944,3474,121174272,27907,46.56,14,4.2
15-May-18,2021.35,2064.9,2021,2039.2,2041.471821338533986586,420460,3827,858357242,43503,10.35,43.9,17.85
16-May-18,2035,2047.65,2018.05,2024.45,2032.877634189500777521,74596,1856,151644540,32528,43.61,29.6,-10.55
17-May-18,2027.85,2041,2013.05,2027.4,2022.773140527262136905,39487,1578,79873243,12154,30.78,27.95,-0.45
18-May-18,2028,2028,2005,2012.9,2015.041069191145760824,114928,2335,231584640,70112,61.01,23,-15.1
21-May-18,2004.75,2021.9,1986.05,1991.9,1994.650244736003707243,34527,1725,68869289,13877,40.19,35.85,-12.85
22-May-18,1999,2014.55,1988,1991.15,1997.823149611594982681,29737,1875,59409267,14203,47.76,26.55,-7.85
23-May-18,1985,1990,1961,1966.95,1974.166265170807809668,43587,2767,86047985,19945,45.76,29,-18.05
24-May-18,1967,1990,1957,1985.9,1965.288928402086296823,337440,1472,663167096,312422,92.59,33,18.9
25-May-18,1997.9,2016.5,1990,2011.65,2005.777016349839630759,63915,2621,128199238,26704,41.78,26.5,13.75
28-May-18,2015,2051.35,2010,2042.3,2038.464412262001029184,68015,2267,138646157,25262,37.14,41.35,27.3
29-May-18,2042.3,2050.25,2030,2032.75,2039.288277162078715590,30769,1094,62746861,11124,36.15,20.25,-9.55
30-May-18,2030,2055,2020.3,2046.85,2040.254823836014634390,39906,1364,81418409,13891,34.81,34.7,16.85
31-May-18,2100.05,2150,2081.5,2136.15,2112.663594518585618133,284817,8366,601722507,69673,24.46,68.5,36.1
01-Jun-18,2124,2135.7,2100.65,2109.55,2115.150661502942846553,294103,8005,622072155,55584,18.9,35.05,-14.45
04-Jun-18,2154.2,2170.05,2038.4,2046.55,2098.426320263169514726,724704,16135,1520737948,185573,25.61,131.65,-107.65
05-Jun-18,2050,2068,2025,2060.55,2050.163195073356276036,138025,5014,282973775,22745,16.48,43,10.55
06-Jun-18,2059,2107.35,2046.5,2059.15,2060.922732852060665321,144201,3854,297187119,34968,24.25,60.85,0.15
07-Jun-18,2065,2079.5,2053.9,2064.85,2070.741399547040055545,60491,1965,125261218,17978,29.72,25.6,-0.15
08-Jun-18,2050.55,2060,2037,2050.1,2046.956142664073573524,60674,2317,124197017,18526,30.53,23,-0.45
11-Jun-18,2052,2062.35,2040.1,2045.15,2051.632018395731475900,44793,2101,91898753,16426,36.67,22.25,-6.85
12-Jun-18,2048,2052.5,2039.05,2044.75,2045.314337403889642695,42009,2692,85921610,16756,39.89,13.45,-3.25
13-Jun-18,2045,2054.9,2027,2035.25,2035.512798481089845753,72157,2057,146876497,39550,54.81,27.9,-9.75
14-Jun-18,2038,2045,2030,2037.15,2039.605664598157299394,79123,3364,161379719,22005,27.81,15,-0.85
15-Jun-18,2040.8,2040.8,2020.9,2030.7,2031.306168544576561607,38518,1810,78241851,14027,36.42,19.9,-10.1
18-Jun-18,2035.7,2037.5,2009.75,2021.35,2019.849788062088003258,66293,2243,133901902,17908,27.01,27.75,-14.35
19-Jun-18,2022.05,2039.9,2019.7,2025.4,2029.607008471142156957,51823,2026,105180324,18684,36.05,20.2,3.35
20-Jun-18,2029,2058.7,2024.75,2055.7,2044.483941182918617579,191577,1837,391676100,157789,82.36,33.95,26.7
21-Jun-18,2067,2071,2049.2,2056.7,2058.248717823950172740,102755,2721,211495347,29452,28.66,21.8,-10.3
22-Jun-18,2060,2087.7,2049.7,2081.8,2065.927057779995287791,72153,1847,149062835,20492,28.4,38,21.8
25-Jun-18,2085,2097,2074.3,2093.95,2089.939071447449563915,56755,1999,118614492,15685,27.64,22.7,8.95
26-Jun-18,2076,2103.7,2076,2093.05,2094.868731375955033964,70809,2888,148335560,24833,35.07,27.7,17.05
27-Jun-18,2085.6,2118,2085.6,2111.65,2110.130935213727228227,75587,3516,159498467,25830,34.17,32.4,26.05
28-Jun-18,2113,2140,2112.45,2132.9,2126.981003831294785271,62381,3134,132683202,21668,34.73,27.55,19.9
29-Jun-18,2127.9,2138.95,2105.05,2108.05,2121.130510414282444495,43690,1770,92672192,9282,21.25,33.9,-19.85
02-Jul-18,2086.25,2113.35,2065,2073.2,2090.909227650251782094,76455,1981,159860465,41620,54.44,48.35,-13.05
03-Jul-18,2080,2084,2065.9,2070.45,2073.113956271075818557,45965,1883,95290683,20990,45.67,18.1,-9.55
04-Jul-18,2070.55,2109.1,2070,2103,2089.513049709587387795,53028,2507,110802698,15659,29.53,39.1,32.45
05-Jul-18,2103.25,2128.95,2092.3,2123.35,2118.184616919393455706,50120,2193,106163413,18169,36.25,36.65,20.1
06-Jul-18,2109,2134.5,2102,2114.05,2122.741287849945430087,39399,1578,83633884,15294,38.82,32.5,5.05
09-Jul-18,2116.5,2129.95,2108.75,2121.3,2119.231743789423803371,223691,1872,474053068,13159,5.88,21.2,4.8
10-Jul-18,2126.05,2150,2125.8,2147.1,2144.359260514167125492,47222,1782,101260933,21410,45.34,24.2,21.05
11-Jul-18,2143.25,2155,2135,2146.55,2147.948659295971533867,39345,2483,84511040,14219,36.14,20,3.3
12-Jul-18,2148.05,2179.1,2148.05,2165.2,2169.323742356604269047,79971,3805,173482989,34427,43.05,31.05,17.15
13-Jul-18,2170,2189.25,2161.5,2180.7,2180.385361978447084830,57904,2758,126253034,23442,40.48,27.75,10.7
16-Jul-18,2180,2189.55,2163.8,2169.35,2173.081752722163681067,45552,2815,98988220,21143,46.42,25.75,-10.65
17-Jul-18,2167.95,2181.25,2165,2176.7,2174.809755634187465862,42109,3653,91579064,14404,34.21,16.25,8.75
18-Jul-18,2181.6,2219.05,2173.9,2176.05,2198.876759253518507037,129032,7892,283725466,45312,35.12,45.15,-5.55
19-Jul-18,2197.7,2197.7,2171.05,2185.7,2182.712225043251623340,44507,2472,97145973,13247,29.76,26.65,-12
20-Jul-18,2189,2202.55,2171.2,2190.1,2184.852349104393603284,60406,3444,131978191,30677,50.78,31.35,1.1
23-Jul-18,2157,2177.7,2139.95,2157.75,2160.744178509503978221,123422,6253,266683368,44509,36.06,37.75,0.75
24-Jul-18,2155.05,2169.75,2150,2160.6,2162.876189940520550641,71117,2685,153817266,30540,42.94,19.75,5.55
