Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-Jul-23,3374,3413.4,3371,3394.2,3395.287098,71143,9912,241550910,40799,57.35,42.4,20.2
25-Jul-23,3394.2,3406.75,3382,3399.05,3395.739881,17319,2050,58810819,6881,39.73,24.75,4.85
26-Jul-23,3385.05,3421.75,3384.9,3387,3399.269793,21902,2363,74450807,10335,47.19,36.85,1.95
27-Jul-23,3385.05,3410.75,3385.05,3396.15,3394.762406,36192,3790,122863241,26788,74.02,25.7,11.1
28-Jul-23,3389.85,3389.85,3331,3355.35,3352.000884,97335,7525,326267006,70681,72.62,58.85,-34.5
31-Jul-23,3356.05,3426,3356.05,3421.1,3405.05791,29183,3273,99369805,12986,44.5,69.95,65.05
01-Aug-23,3408.15,3461,3408.15,3450.85,3443.659238,28181,3106,97045761,11082,39.32,52.85,42.7
02-Aug-23,3417.6,3446.7,3415,3440.65,3436.869442,59774,4485,205435434,37291,62.39,31.7,23.05
03-Aug-23,3425,3432.7,3367.3,3399.7,3400.057371,89034,9061,302720708,62126,69.78,65.4,-25.3
04-Aug-23,3391.1,3470.15,3391.1,3442.3,3443.948753,73311,4643,252479327,15154,20.67,79.05,51.2
07-Aug-23,3443,3487.75,3442,3483.75,3459.901923,48564,4574,168026677,26833,55.25,45.75,40.75
08-Aug-23,3483.85,3487.5,3457.1,3469.85,3471.119494,81770,5750,283833441,69584,85.1,30.4,-14
09-Aug-23,3469,3469,3425,3464,3453.612004,53047,3237,183203756,38575,72.72,44,-5
10-Aug-23,3444.05,3455,3431,3443.45,3443.986255,85997,7887,296172486,60272,70.09,24,-0.6
11-Aug-23,3440,3466.4,3415,3449.35,3446.811849,121004,8501,417078021,65940,54.49,51.4,9.35
14-Aug-23,3425.05,3454.5,3410.3,3449.85,3429.764998,88531,9633,303640525,54937,62.05,44.2,24.8
16-Aug-23,3455,3465.05,3434,3457.55,3451.309184,38718,5343,133627789,23882,61.68,31.05,2.55
17-Aug-23,3457.55,3461,3414,3441.35,3433.103566,62318,6040,213944148,45287,72.67,47,-16.2
18-Aug-23,3411.3,3412.5,3350,3367.65,3370.874424,584952,29375,1971799736,155983,26.67,62.5,-43.65
21-Aug-23,3367,3409,3366.95,3401.75,3394.233392,62020,6538,210510355,33009,53.22,42.05,34.75
22-Aug-23,3401.75,3410,3366,3383.25,3381.173184,69816,6468,236059987,40484,57.99,44,-18.5
23-Aug-23,3383.3,3401.9,3375.9,3399.45,3393.34783,130854,7017,444033137,63954,48.87,26,16.15
24-Aug-23,3405,3413.55,3378.35,3388.8,3392.013152,101202,10422,343278515,70029,69.2,35.2,-16.2
25-Aug-23,3375,3385,3350,3380.6,3370.488666,155554,12857,524292994,68135,43.8,35,5.6
28-Aug-23,3386.05,3391.8,3360,3375,3375.291884,82413,7090,278167930,72929,88.49,31.8,-11.05
29-Aug-23,3376.05,3389.4,3366,3377.65,3377.139158,63180,4732,213367652,52380,82.91,23.4,1.6
30-Aug-23,3390,3408.65,3382.05,3390.05,3398.840338,116058,7842,394462612,86112,74.2,26.6,0.05
31-Aug-23,3392.2,3416.5,3345,3357.05,3378.869939,25911,2894,87549899,11576,44.68,71.5,-35.15
01-Sep-23,3359.05,3389,3357.05,3379.2,3379.108706,47394,6585,160149478,23822,50.26,31.95,20.15
04-Sep-23,3371.05,3432.55,3370.05,3417.85,3403.721864,36795,3473,125239946,20401,55.44,62.5,46.8
05-Sep-23,3417.85,3447,3406,3427.85,3435.807218,41368,3635,142132473,24785,59.91,41,10
06-Sep-23,3429.55,3443.6,3400,3429.85,3426.597405,36225,3001,124128491,23220,64.1,43.6,0.3
07-Sep-23,3445.95,3462,3423,3455.55,3442.443303,37771,6066,130024526,21331,56.47,39,9.6
08-Sep-23,3445.05,3463.5,3435.1,3443.25,3445.087382,189880,14305,654153192,36639,19.3,28.4,-1.8
11-Sep-23,3451.15,3484.5,3445.1,3479.35,3471.911451,93745,10436,325474339,67224,71.71,39.4,28.2
12-Sep-23,3485.05,3589.85,3484.05,3580.6,3545.046215,102261,8759,362519971,46146,45.13,105.8,95.55
13-Sep-23,3562.55,3588,3545.05,3565.55,3565.630017,36826,3805,131307891,17553,47.66,42.95,3
14-Sep-23,3567.85,3597.65,3546.05,3559.15,3565.32023,24854,2660,88612469,9824,39.53,51.6,-8.7
15-Sep-23,3562,3606.5,3562,3599.85,3590.815895,49097,4493,176298288,24699,50.31,44.5,37.85
18-Sep-23,3583.95,3618.95,3574.05,3604.9,3604.188309,85875,9548,309509671,64307,74.88,44.9,20.95
20-Sep-23,3561.05,3625,3561.05,3606.55,3612.627451,32742,3720,118284648,16285,49.74,63.95,45.5
21-Sep-23,3590,3604.25,3528.1,3583.95,3558.070235,103196,11587,367178616,52444,50.82,76.15,-6.05
22-Sep-23,3580.05,3633.05,3564.55,3602.65,3603.125823,32498,4575,117094383,14414,44.35,68.5,22.6
25-Sep-23,3599.9,3611,3560.05,3577.45,3578.894989,84429,5782,302162525,72980,86.44,50.95,-22.45
26-Sep-23,3577.4,3593.1,3536.35,3583.15,3563.439553,113520,10717,404521658,90385,79.62,56.75,5.75
27-Sep-23,3595.95,3613,3555.6,3587.65,3588.373435,26350,3159,94553640,10882,41.3,57.4,-8.3
28-Sep-23,3599.95,3602.55,3528.8,3537.25,3581.846845,374575,3962,1341670282,359092,95.87,73.75,-62.7
